ecosystem,pref,suff,term,estimate,std.error,statistic,p.value
Pr,3,3,min_elapsed,7.563025783261289e-4,0.0014270555424072758,0.5299741711877135,0.63284825001622
Pr,3,4,min_elapsed,-0.0012956147088144983,0.0017407891138215314,-0.744268618483173,0.5107095199849558
SWd,1,1,min_elapsed,-7.561456429562972e-4,0.001507170847992375,-0.5016986919323181,0.6503845255363017
SWd,1,2,min_elapsed,-0.0010527523526866868,3.437241614558323e-4,-3.0627825178997865,0.054872781658999954
SWd,1,3,min_elapsed,-4.961673834713593e-6,6.164338765154043e-4,-0.008048996046033501,0.9940832263840613
SWd,1,4,min_elapsed,-5.350858857117963e-4,0.001133538360511119,-0.47204920834838177,0.6691042868319429
SWd,2,1,min_elapsed,4.7058381117302594e-4,8.095230746066504e-4,0.5813099415377183,0.6018268122337075
SWd,2,2,min_elapsed,-9.136070930847407e-4,0.0016049619758313164,-0.5692390890516412,0.6090245305184909
SWd,2,3,min_elapsed,-1.8655129189457226e-4,0.0015134396000447135,-0.12326312321222514,0.9096931902399636
SWd,2,4,min_elapsed,-8.255362981921686e-4,0.0015311934744122403,-0.5391456481415954,0.6272279406114551
SWd,3,1,min_elapsed,-0.0012469251221552758,0.0016684333448018674,-0.7473628635151456,0.5090908277157
SWd,3,2,min_elapsed,-8.52090240753755e-4,0.001627262672236342,-0.5236341097794187,0.636753003649394
SWd,3,3,min_elapsed,-0.0014081960354146948,0.0016392632799672794,-0.8590420176085463,0.4534809135547973
SWd,3,4,min_elapsed,-6.179195393920548e-4,0.0017593443165760797,-0.3512214940362607,0.748640707118347
Wt,1,1,min_elapsed,-0.0020332668431436714,0.001604409314753101,-1.2672993259557124,0.29448319584697363
Wt,1,2,min_elapsed,-4.3501412872162646e-4,0.0017745077024761816,-0.24514637390111044,0.8221557022432567
Wt,1,3,min_elapsed,-7.944153243391322e-4,0.0017649575446552137,-0.4501044950032053,0.6831713766572967
Wt,1,4,min_elapsed,-0.0010998395456840314,0.0016382969310206018,-0.6713310175090603,0.5500779856348988
Wt,2,1,min_elapsed,5.483348701307898e-5,0.0012630719966342306,0.043412796071163356,0.9681003862292752
Wt,2,2,min_elapsed,-0.0021926854062869205,0.0014204889595831542,-1.5436131280670913,0.2203721614376088
Wt,2,3,min_elapsed,-0.0012881877555776567,6.048543856492664e-4,-2.1297485579027136,0.166936714126554
Wt,2,4,min_elapsed,-0.0018225813338479517,0.001524059941102748,-1.1958724750216883,0.31765041906960423
Wt,3,1,min_elapsed,-0.0012508662057669766,0.0013526746327329063,-0.9247354652018285,0.4233088426352164
Wt,3,2,min_elapsed,-0.003024904881916586,5.550482387685383e-4,-5.449805387416078,0.012135024414131508
Wt,3,3,min_elapsed,-0.0031360865262872292,8.858916729524174e-4,-3.540033868741052,0.038362779935311925
Wt,3,4,min_elapsed,-0.0025433440418499106,0.0013577502692612936,-1.873204593974162,0.15775213358839646
Wt,4,1,min_elapsed,8.058782677544199e-4,8.439998764859661e-4,0.954832210532699,0.4101038066394734
Wt,4,2,min_elapsed,-0.002755599275871901,8.126949344659964e-4,-3.390693308163097,0.04275303573906904
Wt,4,3,min_elapsed,-0.0027225257444398816,9.951563345522393e-4,-2.735776932641297,0.07159196590279941
Wt,4,4,min_elapsed,-0.0017641637274120247,0.0013545856252686508,-1.302364128559347,0.28375736174758637
