Date, PFD(µmol/m²s)
Jun 9 2023 at 11:15:00 AM, 2330.646
Jun 9 2023 at 11:30:00 AM, 2442.638
Jun 9 2023 at 11:45:00 AM, 2536.774
Jun 9 2023 at 12:00:00 PM, 2574.707
Jun 9 2023 at 12:15:00 PM, 2524.853
Jun 9 2023 at 12:30:00 PM, 2570.679
Jun 9 2023 at 12:45:00 PM, 2630.507
Jun 9 2023 at 1:00:00 PM, 2599.498
Jun 9 2023 at 1:15:00 PM, 2626.141
Jun 9 2023 at 1:30:00 PM, 2628.649
Jun 9 2023 at 1:45:00 PM, 2577.454
Jun 9 2023 at 2:00:00 PM, 2570.207
Jun 9 2023 at 2:15:00 PM, 2506.425
Jun 9 2023 at 2:30:00 PM, 2453.431
Jun 9 2023 at 2:45:00 PM, 2339.01
Jun 9 2023 at 3:00:00 PM, 2195.184
Jun 9 2023 at 3:15:00 PM, 2195.308
Jun 9 2023 at 3:30:00 PM, 2184.023
Jun 9 2023 at 3:45:00 PM, 2110.114
Jun 9 2023 at 4:00:00 PM, 1906.261
Jun 9 2023 at 4:15:00 PM, 1656.517
Jun 9 2023 at 4:30:00 PM, 1757.1
Jun 9 2023 at 4:45:00 PM, 1656.289
Jun 9 2023 at 5:00:00 PM, 1665.87
Jun 9 2023 at 5:15:00 PM, 1422.892
Jun 9 2023 at 5:30:00 PM, 1371.389
Jun 9 2023 at 5:45:00 PM, 1211.608
Jun 9 2023 at 6:00:00 PM, 591.695
Jun 9 2023 at 6:15:00 PM, 1066.357
Jun 9 2023 at 6:30:00 PM, 627.145
Jun 9 2023 at 6:45:00 PM, 534.291
Jun 9 2023 at 7:00:00 PM, 431.304
Jun 9 2023 at 7:15:00 PM, 330.855
Jun 9 2023 at 7:30:00 PM, 248.785
Jun 9 2023 at 7:45:00 PM, 200.341
Jun 9 2023 at 8:00:00 PM, 123.64
Jun 9 2023 at 8:15:00 PM, 54.076
Jun 9 2023 at 8:30:00 PM, 22.238
Jun 9 2023 at 8:45:00 PM, 6.209
Jun 9 2023 at 9:00:00 PM, 0.765
Jun 9 2023 at 9:15:00 PM, 0.035
Jun 9 2023 at 9:30:00 PM, 0.184
Jun 9 2023 at 9:45:00 PM, 0.104
Jun 9 2023 at 10:00:00 PM, 0.114
Jun 9 2023 at 10:15:00 PM, 0.015
Jun 9 2023 at 10:30:00 PM, -0.03
Jun 9 2023 at 10:45:00 PM, 0.01
Jun 9 2023 at 11:00:00 PM, -0.015
Jun 9 2023 at 11:15:00 PM, 0.079
Jun 9 2023 at 11:30:00 PM, 0.015
Jun 9 2023 at 11:45:00 PM, 0.134
Jun 10 2023 at 12:00:00 AM, 0.064
Jun 10 2023 at 12:15:00 AM, -0.074
Jun 10 2023 at 12:30:00 AM, 0.094
Jun 10 2023 at 12:45:00 AM, 0.214
Jun 10 2023 at 1:00:00 AM, 0.079
Jun 10 2023 at 1:15:00 AM, 0.06
Jun 10 2023 at 1:30:00 AM, 0.045
Jun 10 2023 at 1:45:00 AM, 0.129
Jun 10 2023 at 2:00:00 AM, 0.04
Jun 10 2023 at 2:15:00 AM, -0.025
Jun 10 2023 at 2:30:00 AM, -0.064
Jun 10 2023 at 2:45:00 AM, 0.04
Jun 10 2023 at 3:00:00 AM, 0.114
Jun 10 2023 at 3:15:00 AM, 0.149
Jun 10 2023 at 3:30:00 AM, 0.109
Jun 10 2023 at 3:45:00 AM, 0.189
Jun 10 2023 at 4:00:00 AM, 0.025
Jun 10 2023 at 4:15:00 AM, 0.094
Jun 10 2023 at 4:30:00 AM, 0.079
Jun 10 2023 at 4:45:00 AM, 0.209
Jun 10 2023 at 5:00:00 AM, 0.447
Jun 10 2023 at 5:15:00 AM, 3.849
Jun 10 2023 at 5:30:00 AM, 18.885
Jun 10 2023 at 5:45:00 AM, 51.478
Jun 10 2023 at 6:00:00 AM, 88.99
Jun 10 2023 at 6:15:00 AM, 109.911
Jun 10 2023 at 6:30:00 AM, 165.04
Jun 10 2023 at 6:45:00 AM, 194.45
Jun 10 2023 at 7:00:00 AM, 243.758
Jun 10 2023 at 7:15:00 AM, 267.252
Jun 10 2023 at 7:30:00 AM, 668.541
Jun 10 2023 at 7:45:00 AM, 810.355
Jun 10 2023 at 8:00:00 AM, 954.429
Jun 10 2023 at 8:15:00 AM, 1079.063
Jun 10 2023 at 8:30:00 AM, 1222.486
Jun 10 2023 at 8:45:00 AM, 1355.315
Jun 10 2023 at 9:00:00 AM, 1478.925
Jun 10 2023 at 9:15:00 AM, 1594.33
Jun 10 2023 at 9:30:00 AM, 1704.822
Jun 10 2023 at 9:45:00 AM, 1816.243
Jun 10 2023 at 10:00:00 AM, 1930.942
Jun 10 2023 at 10:15:00 AM, 2029.27
Jun 10 2023 at 10:30:00 AM, 2111.907
Jun 10 2023 at 10:45:00 AM, 2203.231
Jun 10 2023 at 11:00:00 AM, 2276.957
Jun 10 2023 at 11:15:00 AM, 2347.648
Jun 10 2023 at 11:30:00 AM, 2439.186
Jun 10 2023 at 11:45:00 AM, 2484.207
Jun 10 2023 at 12:00:00 PM, 2247.91
Jun 10 2023 at 12:15:00 PM, 2572.82
Jun 10 2023 at 12:30:00 PM, 2673.974
Jun 10 2023 at 12:45:00 PM, 2555.758
Jun 10 2023 at 1:00:00 PM, 2690.36
Jun 10 2023 at 1:15:00 PM, 2713.968
Jun 10 2023 at 1:30:00 PM, 2708.172
Jun 10 2023 at 1:45:00 PM, 2709.011
Jun 10 2023 at 2:00:00 PM, 2651.498
Jun 10 2023 at 2:15:00 PM, 1471.082
Jun 10 2023 at 2:30:00 PM, 1008.024
Jun 10 2023 at 2:45:00 PM, 1558.512
Jun 10 2023 at 3:00:00 PM, 1472.612
Jun 10 2023 at 3:15:00 PM, 1462.236
Jun 10 2023 at 3:30:00 PM, 1396.07
Jun 10 2023 at 3:45:00 PM, 1634.384
Jun 10 2023 at 4:00:00 PM, 2178.942
Jun 10 2023 at 4:15:00 PM, 1572.857
Jun 10 2023 at 4:30:00 PM, 1779.546
Jun 10 2023 at 4:45:00 PM, 1129.657
Jun 10 2023 at 5:00:00 PM, 1058.494
Jun 10 2023 at 5:15:00 PM, 1436.03
Jun 10 2023 at 5:30:00 PM, 607.779
Jun 10 2023 at 5:45:00 PM, 597.199
Jun 10 2023 at 6:00:00 PM, 590.076
Jun 10 2023 at 6:15:00 PM, 541.32
Jun 10 2023 at 6:30:00 PM, 402.639
Jun 10 2023 at 6:45:00 PM, 308.38
Jun 10 2023 at 7:00:00 PM, 269.08
Jun 10 2023 at 7:15:00 PM, 181.72
Jun 10 2023 at 7:30:00 PM, 142.515
Jun 10 2023 at 7:45:00 PM, 89.114
Jun 10 2023 at 8:00:00 PM, 44.559
Jun 10 2023 at 8:15:00 PM, 15.756
Jun 10 2023 at 8:30:00 PM, 4.753
Jun 10 2023 at 8:45:00 PM, 1.386
Jun 10 2023 at 9:00:00 PM, 0.094
Jun 10 2023 at 9:15:00 PM, 0.055
Jun 10 2023 at 9:30:00 PM, 0.139
Jun 10 2023 at 9:45:00 PM, 0.129
Jun 10 2023 at 10:00:00 PM, 0.154
Jun 10 2023 at 10:15:00 PM, -0.005
Jun 10 2023 at 10:30:00 PM, 0.174
Jun 10 2023 at 10:45:00 PM, 0.064
Jun 10 2023 at 11:00:00 PM, 0.035
Jun 10 2023 at 11:15:00 PM, 0.099
Jun 10 2023 at 11:30:00 PM, 0.084
Jun 10 2023 at 11:45:00 PM, -0.02
Jun 11 2023 at 12:00:00 AM, 0.094
Jun 11 2023 at 12:15:00 AM, -0.02
Jun 11 2023 at 12:30:00 AM, -0.129
Jun 11 2023 at 12:45:00 AM, -0.005
Jun 11 2023 at 1:00:00 AM, -0.02
Jun 11 2023 at 1:15:00 AM, 0.084
Jun 11 2023 at 1:30:00 AM, 0.025
Jun 11 2023 at 1:45:00 AM, 0.064
Jun 11 2023 at 2:00:00 AM, 0.174
Jun 11 2023 at 2:15:00 AM, 0.035
Jun 11 2023 at 2:30:00 AM, 0.025
Jun 11 2023 at 2:45:00 AM, 0.005
Jun 11 2023 at 3:00:00 AM, 0.05
Jun 11 2023 at 3:15:00 AM, -0.02
Jun 11 2023 at 3:30:00 AM, 0.035
Jun 11 2023 at 3:45:00 AM, 0.074
Jun 11 2023 at 4:00:00 AM, 0.179
Jun 11 2023 at 4:15:00 AM, 0.025
Jun 11 2023 at 4:30:00 AM, 0.005
Jun 11 2023 at 4:45:00 AM, 0.109
Jun 11 2023 at 5:00:00 AM, 0.084
Jun 11 2023 at 5:15:00 AM, 0.795
Jun 11 2023 at 5:30:00 AM, 4.704
Jun 11 2023 at 5:45:00 AM, 15.11
Jun 11 2023 at 6:00:00 AM, 30.761
Jun 11 2023 at 6:15:00 AM, 56.148
Jun 11 2023 at 6:30:00 AM, 72.484
Jun 11 2023 at 6:45:00 AM, 108.108
Jun 11 2023 at 7:00:00 AM, 191.033
Jun 11 2023 at 7:15:00 AM, 249.689
Jun 11 2023 at 7:30:00 AM, 265.226
Jun 11 2023 at 7:45:00 AM, 229.428
Jun 11 2023 at 8:00:00 AM, 361.775
Jun 11 2023 at 8:15:00 AM, 453.249
Jun 11 2023 at 8:30:00 AM, 334.64
Jun 11 2023 at 8:45:00 AM, 435.864
Jun 11 2023 at 9:00:00 AM, 510.702
Jun 11 2023 at 9:15:00 AM, 564.019
Jun 11 2023 at 9:30:00 AM, 484.705
Jun 11 2023 at 9:45:00 AM, 454.51
Jun 11 2023 at 10:00:00 AM, 388.374
Jun 11 2023 at 10:15:00 AM, 332.177
Jun 11 2023 at 10:30:00 AM, 282.74
Jun 11 2023 at 10:45:00 AM, 290.463
Jun 11 2023 at 11:00:00 AM, 398.889
Jun 11 2023 at 11:15:00 AM, 305.35
Jun 11 2023 at 11:30:00 AM, 265.966
Jun 11 2023 at 11:45:00 AM, 269.418
Jun 11 2023 at 12:00:00 PM, 425.478
Jun 11 2023 at 12:15:00 PM, 396.137
Jun 11 2023 at 12:30:00 PM, 425.93
Jun 11 2023 at 12:45:00 PM, 423.844
Jun 11 2023 at 1:00:00 PM, 317.981
Jun 11 2023 at 1:15:00 PM, 263.254
Jun 11 2023 at 1:30:00 PM, 253.131
Jun 11 2023 at 1:45:00 PM, 218.704
Jun 11 2023 at 2:00:00 PM, 191.992
Jun 11 2023 at 2:15:00 PM, 257.646
Jun 11 2023 at 2:30:00 PM, 325.62
Jun 11 2023 at 2:45:00 PM, 253.603
Jun 11 2023 at 3:00:00 PM, 324.597
Jun 11 2023 at 3:15:00 PM, 269.895
Jun 11 2023 at 3:30:00 PM, 246.907
Jun 11 2023 at 3:45:00 PM, 257.144
Jun 11 2023 at 4:00:00 PM, 210.414
Jun 11 2023 at 4:15:00 PM, 229.865
Jun 11 2023 at 4:30:00 PM, 240.038
Jun 11 2023 at 4:45:00 PM, 349.666
Jun 11 2023 at 5:00:00 PM, 498.648
Jun 11 2023 at 5:15:00 PM, 315.989
Jun 11 2023 at 5:30:00 PM, 251.323
Jun 11 2023 at 5:45:00 PM, 241.617
Jun 11 2023 at 6:00:00 PM, 228.206
Jun 11 2023 at 6:15:00 PM, 188.202
Jun 11 2023 at 6:30:00 PM, 150.04
Jun 11 2023 at 6:45:00 PM, 118.837
Jun 11 2023 at 7:00:00 PM, 85.264
Jun 11 2023 at 7:15:00 PM, 80.054
Jun 11 2023 at 7:30:00 PM, 65.654
Jun 11 2023 at 7:45:00 PM, 45.622
Jun 11 2023 at 8:00:00 PM, 20.891
Jun 11 2023 at 8:15:00 PM, 12.83
Jun 11 2023 at 8:30:00 PM, 4.768
Jun 11 2023 at 8:45:00 PM, 1.311
Jun 11 2023 at 9:00:00 PM, 0.03
Jun 11 2023 at 9:15:00 PM, -0.01
Jun 11 2023 at 9:30:00 PM, -0.055
Jun 11 2023 at 9:45:00 PM, -0.045
Jun 11 2023 at 10:00:00 PM, 0.134
Jun 11 2023 at 10:15:00 PM, -0.104
Jun 11 2023 at 10:30:00 PM, -0.025
Jun 11 2023 at 10:45:00 PM, -0.174
Jun 11 2023 at 11:00:00 PM, 0
Jun 11 2023 at 11:15:00 PM, -0.079
Jun 11 2023 at 11:30:00 PM, -0.199
Jun 11 2023 at 11:45:00 PM, -0.094
Jun 12 2023 at 12:00:00 AM, -0.119
Jun 12 2023 at 12:15:00 AM, 0.02
Jun 12 2023 at 12:30:00 AM, 0.04
Jun 12 2023 at 12:45:00 AM, -0.055
Jun 12 2023 at 1:00:00 AM, -0.079
Jun 12 2023 at 1:15:00 AM, -0.035
Jun 12 2023 at 1:30:00 AM, 0.015
Jun 12 2023 at 1:45:00 AM, -0.05
Jun 12 2023 at 2:00:00 AM, -0.079
Jun 12 2023 at 2:15:00 AM, -0.055
Jun 12 2023 at 2:30:00 AM, -0.089
Jun 12 2023 at 2:45:00 AM, 0.02
Jun 12 2023 at 3:00:00 AM, -0.124
Jun 12 2023 at 3:15:00 AM, -0.114
Jun 12 2023 at 3:30:00 AM, -0.035
Jun 12 2023 at 3:45:00 AM, -0.055
Jun 12 2023 at 4:00:00 AM, -0.164
Jun 12 2023 at 4:15:00 AM, -0.154
Jun 12 2023 at 4:30:00 AM, 0.04
Jun 12 2023 at 4:45:00 AM, -0.045
Jun 12 2023 at 5:00:00 AM, 0.318
Jun 12 2023 at 5:15:00 AM, 3.392
Jun 12 2023 at 5:30:00 AM, 16.431
Jun 12 2023 at 5:45:00 AM, 42.617
Jun 12 2023 at 6:00:00 AM, 77.67
Jun 12 2023 at 6:15:00 AM, 126.481
Jun 12 2023 at 6:30:00 AM, 144.939
Jun 12 2023 at 6:45:00 AM, 172.998
Jun 12 2023 at 7:00:00 AM, 216.906
Jun 12 2023 at 7:15:00 AM, 222.206
Jun 12 2023 at 7:30:00 AM, 748.927
Jun 12 2023 at 7:45:00 AM, 886.197
Jun 12 2023 at 8:00:00 AM, 1005.933
Jun 12 2023 at 8:15:00 AM, 1122.877
Jun 12 2023 at 8:30:00 AM, 1246.398
Jun 12 2023 at 8:45:00 AM, 1395.275
Jun 12 2023 at 9:00:00 AM, 1514.897
Jun 12 2023 at 9:15:00 AM, 1624.624
Jun 12 2023 at 9:30:00 AM, 1734.634
Jun 12 2023 at 9:45:00 AM, 1843.184
Jun 12 2023 at 10:00:00 AM, 1938.815
Jun 12 2023 at 10:15:00 AM, 1806.88
Jun 12 2023 at 10:30:00 AM, 2165.898
Jun 12 2023 at 10:45:00 AM, 2018.243
Jun 12 2023 at 11:00:00 AM, 2419.884
Jun 12 2023 at 11:15:00 AM, 2385.631
Jun 12 2023 at 11:30:00 AM, 2438.416
Jun 12 2023 at 11:45:00 AM, 2464.622
Jun 12 2023 at 12:00:00 PM, 2518.718
Jun 12 2023 at 12:15:00 PM, 2436.881
Jun 12 2023 at 12:30:00 PM, 2400.051
Jun 12 2023 at 12:45:00 PM, 2564.549
Jun 12 2023 at 1:00:00 PM, 2521.162
Jun 12 2023 at 1:15:00 PM, 2563.293
Jun 12 2023 at 1:30:00 PM, 2593.994
Jun 12 2023 at 1:45:00 PM, 2573.545
Jun 12 2023 at 2:00:00 PM, 2143.294
Jun 12 2023 at 2:15:00 PM, 2530.108
Jun 12 2023 at 2:30:00 PM, 2551.173
Jun 12 2023 at 2:45:00 PM, 2089.197
Jun 12 2023 at 3:00:00 PM, 977.154
Jun 12 2023 at 3:15:00 PM, 2236.843
Jun 12 2023 at 3:30:00 PM, 1296.242
Jun 12 2023 at 3:45:00 PM, 1331.523
Jun 12 2023 at 4:00:00 PM, 680.849
Jun 12 2023 at 4:15:00 PM, 1184.508
Jun 12 2023 at 4:30:00 PM, 1619.796
Jun 12 2023 at 4:45:00 PM, 1159.405
Jun 12 2023 at 5:00:00 PM, 886.54
Jun 12 2023 at 5:15:00 PM, 449.131
Jun 12 2023 at 5:30:00 PM, 262.022
Jun 12 2023 at 5:45:00 PM, 126.59
Jun 12 2023 at 6:00:00 PM, 78.877
Jun 12 2023 at 6:15:00 PM, 197.103
Jun 12 2023 at 6:30:00 PM, 230.069
Jun 12 2023 at 6:45:00 PM, 184.099
Jun 12 2023 at 7:00:00 PM, 97.141
Jun 12 2023 at 7:15:00 PM, 67.487
Jun 12 2023 at 7:30:00 PM, 75.435
Jun 12 2023 at 7:45:00 PM, 43.68
Jun 12 2023 at 8:00:00 PM, 33.036
Jun 12 2023 at 8:15:00 PM, 8.767
Jun 12 2023 at 8:30:00 PM, 2.891
Jun 12 2023 at 8:45:00 PM, 1.207
Jun 12 2023 at 9:00:00 PM, 0.268
Jun 12 2023 at 9:15:00 PM, 0.045
Jun 12 2023 at 9:30:00 PM, -0.045
Jun 12 2023 at 9:45:00 PM, -0.084
Jun 12 2023 at 10:00:00 PM, -0.114
Jun 12 2023 at 10:15:00 PM, -0.06
Jun 12 2023 at 10:30:00 PM, -0.025
Jun 12 2023 at 10:45:00 PM, 0.104
Jun 12 2023 at 11:00:00 PM, 0.01
Jun 12 2023 at 11:15:00 PM, 0.05
Jun 12 2023 at 11:30:00 PM, 0.194
Jun 12 2023 at 11:45:00 PM, 0.149
Jun 13 2023 at 12:00:00 AM, -0.025
Jun 13 2023 at 12:15:00 AM, 0.109
Jun 13 2023 at 12:30:00 AM, 0.184
Jun 13 2023 at 12:45:00 AM, 0.149
Jun 13 2023 at 1:00:00 AM, 0.03
Jun 13 2023 at 1:15:00 AM, 0.03
Jun 13 2023 at 1:30:00 AM, 0.144
Jun 13 2023 at 1:45:00 AM, 0.005
Jun 13 2023 at 2:00:00 AM, 0.114
Jun 13 2023 at 2:15:00 AM, 0.035
Jun 13 2023 at 2:30:00 AM, -0.02
Jun 13 2023 at 2:45:00 AM, -0.035
Jun 13 2023 at 3:00:00 AM, -0.025
Jun 13 2023 at 3:15:00 AM, 0.015
Jun 13 2023 at 3:30:00 AM, -0.025
Jun 13 2023 at 3:45:00 AM, -0.035
Jun 13 2023 at 4:00:00 AM, -0.084
Jun 13 2023 at 4:15:00 AM, 0.089
Jun 13 2023 at 4:30:00 AM, -0.005
Jun 13 2023 at 4:45:00 AM, 0.01
Jun 13 2023 at 5:00:00 AM, -0.258
Jun 13 2023 at 5:15:00 AM, 0.124
Jun 13 2023 at 5:30:00 AM, 0.854
Jun 13 2023 at 5:45:00 AM, 3.258
Jun 13 2023 at 6:00:00 AM, 8.618
Jun 13 2023 at 6:15:00 AM, 25.585
Jun 13 2023 at 6:30:00 AM, 92.646
Jun 13 2023 at 6:45:00 AM, 109.573
Jun 13 2023 at 7:00:00 AM, 77.456
Jun 13 2023 at 7:15:00 AM, 141.511
Jun 13 2023 at 7:30:00 AM, 363.509
Jun 13 2023 at 7:45:00 AM, 303.094
Jun 13 2023 at 8:00:00 AM, 345.369
Jun 13 2023 at 8:15:00 AM, 504.668
Jun 13 2023 at 8:30:00 AM, 1051.659
Jun 13 2023 at 8:45:00 AM, 1173.238
Jun 13 2023 at 9:00:00 AM, 1368.17
Jun 13 2023 at 9:15:00 AM, 1359.309
Jun 13 2023 at 9:30:00 AM, 1701.718
Jun 13 2023 at 9:45:00 AM, 1863.812
Jun 13 2023 at 10:00:00 AM, 2002.393
Jun 13 2023 at 10:15:00 AM, 2303.486
Jun 13 2023 at 10:30:00 AM, 1991.292
Jun 13 2023 at 10:45:00 AM, 1994.352
Jun 13 2023 at 11:00:00 AM, 1512.378
Jun 13 2023 at 11:15:00 AM, 1286.144
Jun 13 2023 at 11:30:00 AM, 840.132
Jun 13 2023 at 11:45:00 AM, 1201.649
