ecosystem,rep,term,estimate,std.error,statistic,p.value
NW,8,min_elapsed,4.963657413168739e-4,1.0750629554996423e-4,4.617085341631782,0.04384759211098025
NW,9,min_elapsed,0.001565371029602291,6.513873365244564e-4,2.403133960132673,0.13816067554090217
NW,10,min_elapsed,7.963122792116878e-4,5.430953473564095e-4,1.4662476544640755,0.23884369467863684
NW,11,min_elapsed,2.2690791365288256e-4,8.787155021130025e-5,2.582268243899745,0.08161906892154558
NW,12,min_elapsed,7.274645463525197e-4,4.378841420310664e-4,1.6613174045953656,0.1952347663428557
SP,1,min_elapsed,3.677603440715406e-4,3.6644877056354544e-4,1.0035791456087522,0.3895249010801251
SP,2,min_elapsed,-1.1381645490984646e-4,1.0984686392355542e-4,-1.0361374994651968,0.40898967762084604
SP,3,min_elapsed,3.1285853989022156e-4,1.9503076579051204e-4,1.6041496767041956,0.2070187918289194
SP,4,min_elapsed,5.275793707488167e-6,1.3112911134270622e-4,0.04023358088426199,0.9704347196137051
SP,5,min_elapsed,1.7932943020232249e-4,5.230291924519324e-4,0.34286696190252,0.7543172157455352
SP,6,min_elapsed,-4.580027833311797e-5,1.629163423260258e-5,-2.8112758781106884,0.1066654904805349
SP,7,min_elapsed,-1.0476519119206461e-4,3.704778067175216e-4,-0.2827839867664326,0.7957316338762142
SP,8,min_elapsed,-5.140091087654702e-4,1.2255832978132065e-4,-4.193995705413173,0.024725553428719297
SP,9,min_elapsed,8.200330454736654e-5,1.5246532610079257e-4,0.5378488778042253,0.6280205673514903
SP,10,min_elapsed,6.357308020096304e-4,3.5774011660401654e-4,1.7770743970358864,0.1736272388758321
SP,11,min_elapsed,5.091740479732774e-5,3.219729146000383e-4,0.15814188861376255,0.8888694515863628
SP,12,min_elapsed,1.3051127456411443e-4,8.50143676458212e-5,1.5351672685238116,0.264513080442991
SW,1,min_elapsed,-3.0196189761075114e-4,4.1113409863276433e-5,-7.34460845293378,0.018037933585931108
SW,2,min_elapsed,-8.936018652446091e-5,3.329133426398376e-4,-0.26841875971650453,0.8057764059870676
SW,3,min_elapsed,-2.0426518329263242e-4,2.5166184424217094e-4,-0.8116652880286083,0.47640396100114724
SW,4,min_elapsed,1.478319546603196e-4,3.357248681159157e-4,0.4403366229316014,0.689489288654062
SW,5,min_elapsed,9.376258492375867e-5,3.139830904746017e-4,0.2986230398013844,0.7847176523825808
SW,6,min_elapsed,5.530253350713885e-4,6.647480736226591e-4,0.8319322116385861,0.4664777728755746
SW,7,min_elapsed,5.901969694372616e-4,3.7849700317912357e-4,1.5593174172582578,0.21681833744422116
SW,8,min_elapsed,6.926937692760256e-4,3.3881838247865666e-4,2.044439750312723,0.13347540704311317
SW,9,min_elapsed,7.439849417233689e-4,5.235150522591549e-4,1.4211338117458276,0.25039128913492675
SW,10,min_elapsed,4.889561333241382e-4,5.798345592048746e-4,0.8432683522600694,0.46100402684168046
SW,11,min_elapsed,1.4302959579358374e-4,4.909249669547506e-4,0.2913471618296549,0.7897688988082099
SW,12,min_elapsed,3.1854547622890987e-4,6.326333643896743e-4,0.5035230421908319,0.6492436608272982
WW,1,min_elapsed,4.3274162699689266e-4,1.1305740212400597e-4,3.8276275490767424,0.03141080103061502
WW,2,min_elapsed,-5.513431153569553e-4,6.528598304581696e-4,-0.8445045776059296,0.4604105005887748
WW,3,min_elapsed,3.910492138940379e-4,4.377242121258388e-4,0.8933689365614013,0.43748272083755374
WW,4,min_elapsed,3.793751844678294e-4,4.6342402796761535e-4,0.818635119399421,0.472970026167495
WW,5,min_elapsed,5.166509149652885e-4,4.879771935917162e-4,1.0587603718987804,0.3674115726632923
WW,6,min_elapsed,-4.505082242710698e-5,1.8207315326423457e-4,-0.24743253807290713,0.8205410851070085
WW,7,min_elapsed,5.334500103921164e-4,5.140784657568123e-4,1.037682077592544,0.3757124810432092
WW,8,min_elapsed,4.7312984554220963e-4,5.322798725841108e-4,0.8888741992915498,0.439548478641375
WW,9,min_elapsed,-5.055456346370858e-4,2.414196675370205e-4,-2.094053230189139,0.12728415744908306
WW,10,min_elapsed,6.093949802251724e-4,4.5643663482244673e-4,1.3351140853586967,0.2741093982490949
WW,11,min_elapsed,5.049102546517415e-4,4.685647090302144e-4,1.0775678255768586,0.36015517760386523
